date,fund,ticker,weight
2022-03-01,Combined Max-Sharpe,BA,0.0
2022-04-01,Combined Max-Sharpe,BA,0.0
2022-05-02,Combined Max-Sharpe,BA,1.4524917147940994e-17
2022-06-01,Combined Max-Sharpe,BA,0.0
2022-07-01,Combined Max-Sharpe,BA,3.037560451153978e-16
2022-08-01,Combined Max-Sharpe,BA,0.0
2022-09-01,Combined Max-Sharpe,BA,8.17401805803788e-17
2022-10-03,Combined Max-Sharpe,BA,1.602459029741333e-16
2022-11-01,Combined Max-Sharpe,BA,2.2055899062431394e-17
2022-12-01,Combined Max-Sharpe,BA,0.0
2023-01-03,Combined Max-Sharpe,BA,1.260329467710557e-17
2023-02-01,Combined Max-Sharpe,BA,0.0
2023-03-01,Combined Max-Sharpe,BA,2.714306433434283e-16
2023-04-03,Combined Max-Sharpe,BA,1.2706084438036194e-14
2023-05-01,Combined Max-Sharpe,BA,0.0
2023-06-01,Combined Max-Sharpe,BA,0.049321132885083475
2023-07-03,Combined Max-Sharpe,BA,4.803279357372055e-16
2023-08-01,Combined Max-Sharpe,BA,1.7694054930089283e-16
2023-09-01,Combined Max-Sharpe,BA,0.0
2023-10-02,Combined Max-Sharpe,BA,6.135547607038018e-17
2023-11-01,Combined Max-Sharpe,BA,0.0
2023-12-01,Combined Max-Sharpe,BA,1.1307810817805706e-16
2021-01-04,Combined Max-Sharpe,BCH-USD,6.620366731073935e-17
2021-02-01,Combined Max-Sharpe,BCH-USD,7.143243430530634e-17
2021-03-01,Combined Max-Sharpe,BCH-USD,1.843578286824034e-16
2021-04-01,Combined Max-Sharpe,BCH-USD,6.265567239146601e-17
2021-05-03,Combined Max-Sharpe,BCH-USD,0.0
2021-06-01,Combined Max-Sharpe,BCH-USD,3.6375202557988956e-16
2021-07-01,Combined Max-Sharpe,BCH-USD,0.0
2021-08-02,Combined Max-Sharpe,BCH-USD,2.039484481906473e-16
2021-09-01,Combined Max-Sharpe,BCH-USD,0.0
2021-10-01,Combined Max-Sharpe,BCH-USD,8.137514356172e-17
2021-11-01,Combined Max-Sharpe,BCH-USD,4.003186842309622e-17
2021-12-01,Combined Max-Sharpe,BCH-USD,2.0279694616674209e-16
2022-01-03,Combined Max-Sharpe,BCH-USD,7.829333083845492e-16
2022-02-01,Combined Max-Sharpe,BCH-USD,2.387657795510551e-16
2022-03-01,Combined Max-Sharpe,BCH-USD,4.4251711312581964e-16
2022-04-01,Combined Max-Sharpe,BCH-USD,0.0
2022-05-02,Combined Max-Sharpe,BCH-USD,3.2183102456987916e-17
2022-06-01,Combined Max-Sharpe,BCH-USD,0.0
2022-07-01,Combined Max-Sharpe,BCH-USD,7.314659407581546e-16
2022-08-01,Combined Max-Sharpe,BCH-USD,0.0
2022-09-01,Combined Max-Sharpe,BCH-USD,0.0
2022-10-03,Combined Max-Sharpe,BCH-USD,9.44195845242608e-17
2022-11-01,Combined Max-Sharpe,BCH-USD,5.54157319902404e-16
2022-12-01,Combined Max-Sharpe,BCH-USD,0.0
2023-01-03,Combined Max-Sharpe,BCH-USD,0.0
2023-02-01,Combined Max-Sharpe,BCH-USD,4.482339201821978e-16
2023-03-01,Combined Max-Sharpe,BCH-USD,0.0
2023-04-03,Combined Max-Sharpe,BCH-USD,3.4327042448872975e-14
2023-05-01,Combined Max-Sharpe,BCH-USD,0.0
2023-06-01,Combined Max-Sharpe,BCH-USD,0.0
2023-07-03,Combined Max-Sharpe,BCH-USD,0.055465200243879534
2023-08-01,Combined Max-Sharpe,BCH-USD,0.032268787479491974
2023-09-01,Combined Max-Sharpe,BCH-USD,0.031026307343773034
2023-10-02,Combined Max-Sharpe,BCH-USD,0.0542185628780097
2023-11-01,Combined Max-Sharpe,BCH-USD,0.08670997189102304
2023-12-01,Combined Max-Sharpe,BCH-USD,0.044076067514490336
2021-01-04,Combined Max-Sharpe,BTC-USD,0.5784826391446857
2021-02-01,Combined Max-Sharpe,BTC-USD,0.42829581163670083
2021-03-01,Combined Max-Sharpe,BTC-USD,0.3645995237855023
2021-04-01,Combined Max-Sharpe,BTC-USD,0.21853512386977123
2021-05-03,Combined Max-Sharpe,BTC-USD,0.14275644523065772
2021-06-01,Combined Max-Sharpe,BTC-USD,0.02220275693905224
2021-07-01,Combined Max-Sharpe,BTC-USD,0.014134266746639213
2021-08-02,Combined Max-Sharpe,BTC-USD,0.0267964546101767
2021-09-01,Combined Max-Sharpe,BTC-USD,0.01458834394147107
2021-10-01,Combined Max-Sharpe,BTC-USD,0.008877344184070797
2021-11-01,Combined Max-Sharpe,BTC-USD,3.0750103405376004e-16
2021-12-01,Combined Max-Sharpe,BTC-USD,0.0
2022-01-03,Combined Max-Sharpe,BTC-USD,7.925252248419366e-18
2022-02-01,Combined Max-Sharpe,BTC-USD,2.6786451002548253e-16
2022-03-01,Combined Max-Sharpe,BTC-USD,0.0
2022-04-01,Combined Max-Sharpe,BTC-USD,3.8866797542364146e-16
2022-05-02,Combined Max-Sharpe,BTC-USD,0.0
2022-06-01,Combined Max-Sharpe,BTC-USD,0.0
2022-07-01,Combined Max-Sharpe,BTC-USD,4.574918654400242e-16
2022-08-01,Combined Max-Sharpe,BTC-USD,1.1853169474596851e-17
2022-09-01,Combined Max-Sharpe,BTC-USD,0.0
2022-10-03,Combined Max-Sharpe,BTC-USD,2.3575910674990177e-16
2022-11-01,Combined Max-Sharpe,BTC-USD,2.553895133901751e-16
2022-12-01,Combined Max-Sharpe,BTC-USD,0.0
2023-01-03,Combined Max-Sharpe,BTC-USD,0.0
2023-02-01,Combined Max-Sharpe,BTC-USD,5.210622097404583e-16
2023-03-01,Combined Max-Sharpe,BTC-USD,0.0
2023-04-03,Combined Max-Sharpe,BTC-USD,3.04940451034758e-14
2023-05-01,Combined Max-Sharpe,BTC-USD,0.0
2023-06-01,Combined Max-Sharpe,BTC-USD,0.0
2023-07-03,Combined Max-Sharpe,BTC-USD,6.378926290661572e-17
2023-08-01,Combined Max-Sharpe,BTC-USD,1.929308190840553e-16
2023-09-01,Combined Max-Sharpe,BTC-USD,7.681157686956886e-17
2023-10-02,Combined Max-Sharpe,BTC-USD,5.643688876762176e-17
2023-11-01,Combined Max-Sharpe,BTC-USD,0.0
2023-12-01,Combined Max-Sharpe,BTC-USD,0.10431557247444032
2021-01-04,Combined Max-Sharpe,CAT,5.71870901463966e-17
2021-02-01,Combined Max-Sharpe,CAT,0.0
2021-03-01,Combined Max-Sharpe,CAT,0.02049747354909026
2021-04-01,Combined Max-Sharpe,CAT,0.014363570307228197
2021-05-03,Combined Max-Sharpe,CAT,0.07969618570741278
2021-06-01,Combined Max-Sharpe,CAT,0.1448378534125951
2021-07-01,Combined Max-Sharpe,CAT,0.009517688017658713
2021-08-02,Combined Max-Sharpe,CAT,1.0683683755684784e-16
2021-09-01,Combined Max-Sharpe,CAT,3.644503529480736e-17
2021-10-01,Combined Max-Sharpe,CAT,0.0
2021-11-01,Combined Max-Sharpe,CAT,1.0570481383884215e-16
2021-12-01,Combined Max-Sharpe,CAT,0.0
2022-01-03,Combined Max-Sharpe,CAT,1.6450529347126654e-16
2022-02-01,Combined Max-Sharpe,CAT,0.0
2022-03-01,Combined Max-Sharpe,CAT,0.0
2022-04-01,Combined Max-Sharpe,CAT,3.3684621371281e-17
2022-05-02,Combined Max-Sharpe,CAT,0.0
2022-06-01,Combined Max-Sharpe,CAT,0.0
2022-07-01,Combined Max-Sharpe,CAT,9.265940938751546e-17
2022-08-01,Combined Max-Sharpe,CAT,0.0
2022-09-01,Combined Max-Sharpe,CAT,8.862349364954783e-17
2022-10-03,Combined Max-Sharpe,CAT,5.0990404499732097e-17
2022-11-01,Combined Max-Sharpe,CAT,1.0236917556222874e-15
2022-12-01,Combined Max-Sharpe,CAT,2.3859067682322664e-16
2023-01-03,Combined Max-Sharpe,CAT,3.7812140048678956e-16
2023-02-01,Combined Max-Sharpe,CAT,1.6691905012808495e-15
2023-03-01,Combined Max-Sharpe,CAT,0.0
2023-04-03,Combined Max-Sharpe,CAT,2.073347459979286e-14
2023-05-01,Combined Max-Sharpe,CAT,0.0
2023-06-01,Combined Max-Sharpe,CAT,1.4968319897218817e-17
2023-07-03,Combined Max-Sharpe,CAT,7.369616025770202e-17
2023-08-01,Combined Max-Sharpe,CAT,0.0
2023-09-01,Combined Max-Sharpe,CAT,0.0
2023-10-02,Combined Max-Sharpe,CAT,0.006843649494402821
2023-11-01,Combined Max-Sharpe,CAT,5.0236922435008853e-17
2023-12-01,Combined Max-Sharpe,CAT,3.1709489969723445e-17
2021-01-04,Combined Max-Sharpe,CCI,0.0
2021-02-01,Combined Max-Sharpe,CCI,0.0
2021-03-01,Combined Max-Sharpe,CCI,1.362261239953969e-18
2021-04-01,Combined Max-Sharpe,CCI,0.0
