date,fund,ret
2021-10-11,Equity Min-Variance,-0.008677565353251104
2021-10-12,Equity Min-Variance,-0.0008217781848532632
2021-10-13,Equity Min-Variance,0.0006363522024609722
2021-10-14,Equity Min-Variance,0.008856397472727822
2021-10-15,Equity Min-Variance,-0.0006606515501211958
2021-10-18,Equity Min-Variance,-0.001739353218163506
2021-10-19,Equity Min-Variance,0.013753520746257644
2021-10-20,Equity Min-Variance,0.010443849897378895
2021-10-21,Equity Min-Variance,0.005546251711419238
2021-10-22,Equity Min-Variance,0.002471966552305493
2021-10-25,Equity Min-Variance,0.004432254417585359
2021-10-26,Equity Min-Variance,-7.6161953818829845e-06
2021-10-27,Equity Min-Variance,-0.010918250924925798
2021-10-28,Equity Min-Variance,0.018198229273562235
2021-10-29,Equity Min-Variance,-0.0011526117668592918
2021-11-01,Equity Min-Variance,0.005334443747519202
2021-11-02,Equity Min-Variance,0.004659887914011615
2021-11-03,Equity Min-Variance,6.574640288376567e-05
2021-11-04,Equity Min-Variance,0.0005877375924800333
2021-11-05,Equity Min-Variance,-0.012150085662724174
2021-11-08,Equity Min-Variance,0.0015704730372883124
2021-11-09,Equity Min-Variance,0.0006130525856938808
2021-11-10,Equity Min-Variance,0.0008712434260915413
2021-11-11,Equity Min-Variance,0.002397394515501825
2021-11-12,Equity Min-Variance,0.0022973181386538198
2021-11-15,Equity Min-Variance,-0.002469655427450908
2021-11-16,Equity Min-Variance,-0.00505967166739389
2021-11-17,Equity Min-Variance,-0.0029214286158677242
2021-11-18,Equity Min-Variance,-0.0020134415678729443
2021-11-19,Equity Min-Variance,-0.00804674850469681
2021-11-22,Equity Min-Variance,0.0038082762666556413
2021-11-23,Equity Min-Variance,0.006673075525384362
2021-11-24,Equity Min-Variance,-0.0009064720219266617
2021-11-26,Equity Min-Variance,-0.014688591030984377
2021-11-29,Equity Min-Variance,-0.0006853997542474045
2021-11-30,Equity Min-Variance,-0.02163121579650685
2021-12-01,Equity Min-Variance,-0.011568102585588607
2021-12-02,Equity Min-Variance,0.014152653382663881
2021-12-03,Equity Min-Variance,0.008929499053131383
2021-12-06,Equity Min-Variance,0.01029152901758994
2021-12-07,Equity Min-Variance,0.0030724932496681684
2021-12-08,Equity Min-Variance,0.0009202974091467454
2021-12-09,Equity Min-Variance,-0.0029196514751046827
2021-12-10,Equity Min-Variance,0.0076355385471391715
2021-12-13,Equity Min-Variance,0.00492992687984499
2021-12-14,Equity Min-Variance,-0.00026063779649332353
